W,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,SEED,L
26,111.1,94.6,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,0.0,6.0,7
22,110.0,93.5,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27.0,47.7,41.3,34.8,35.7,66.0,0.0,9.0,11
21,106.3,97.4,47.0,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,0.0,10.0,12
30,120.0,94.1,54.6,46.0,16.9,18.3,37.2,26.4,36.0,24.6,51.0,44.1,40.6,32.1,64.8,0.0,6.0,5
25,120.9,102.7,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,53.8,46.0,38.1,36.3,70.1,0.0,4.0,8
28,112.3,93.8,49.0,48.6,16.0,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65.0,0.0,7.0,7
17,102.9,102.4,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68.0,0.0,16.0,14
26,107.8,103.4,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,55.4,51.0,33.7,31.0,67.2,0.0,14.0,5
23,103.2,101.8,51.5,52.0,20.0,19.9,27.4,24.3,40.6,38.4,53.2,52.8,32.7,33.8,75.9,0.0,15.0,7
20,119.5,103.0,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,0.0,10.0,14
21,110.5,93.9,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65.0,0.0,9.0,13
22,113.4,99.4,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27.0,52.6,51.1,38.0,34.7,66.3,0.0,11.0,13
29,122.5,96.0,56.3,43.3,17.6,14.2,37.1,24.3,30.0,34.1,51.4,41.7,43.4,31.0,67.6,0.0,2.0,6
26,117.2,93.4,53.6,44.3,17.7,13.7,35.0,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,0.0,5.0,9
24,113.4,97.9,52.4,47.5,19.0,18.0,30.4,32.3,38.5,32.6,51.0,45.6,36.3,34.2,68.6,0.0,6.0,8
24,109.3,92.9,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,70.9,0.0,5.0,10
23,108.2,88.6,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65.0,0.0,5.0,11
23,116.3,92.7,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,0.0,3.0,10
25,116.9,95.6,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24.0,54.3,45.2,36.2,34.7,69.8,0.0,3.0,9
17,110.7,95.4,50.2,46.5,18.5,21.1,26.9,32.6,39.0,42.1,49.2,44.1,34.6,34.4,64.0,0.0,9.0,14
20,110.3,90.7,49.1,42.1,20.1,14.0,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.0,11.0,14
21,119.3,99.2,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,0.0,5.0,12
20,112.2,95.6,49.4,47.7,15.4,18.5,30.7,32.0,39.5,38.4,48.5,45.8,34.1,34.5,66.3,0.0,6.0,13
19,113.1,98.9,50.0,49.6,17.8,19.0,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,0.0,8.0,13
26,114.8,90.4,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,0.0,3.0,9
21,112.2,94.2,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,67.2,0.0,11.0,14
20,126.8,102.3,54.0,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,0.0,10.0,12
18,114.6,99.5,53.5,51.0,17.3,16.8,28.4,30.0,33.2,25.6,53.3,49.1,35.9,36.2,76.7,0.0,10.0,14
21,119.5,100.5,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70.0,0.0,6.0,12
19,109.3,93.7,50.0,48.3,17.0,18.0,29.4,29.1,33.0,26.2,51.2,47.5,32.0,33.2,66.6,0.0,10.0,15
23,118.4,96.6,54.7,48.4,16.3,18.8,28.3,30.1,30.0,23.6,55.0,47.1,36.2,33.6,69.1,0.0,6.0,12
25,108.0,87.8,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,48.9,49.0,33.4,31.4,64.9,0.0,4.0,9
22,111.6,93.7,48.4,48.2,18.1,19.7,35.2,29.0,40.7,39.3,48.9,47.1,31.3,33.3,65.7,0.0,6.0,12
20,110.6,94.7,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67.0,0.0,9.0,12
25,110.8,91.4,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,0.0,6.0,9
25,114.5,95.2,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33.0,72.7,0.0,6.0,9
19,121.8,101.8,57.5,52.2,17.3,18.3,27.1,29.2,31.0,35.7,52.7,50.6,42.9,36.8,71.5,0.0,10.0,13
21,108.9,95.6,49.9,49.0,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48.0,33.8,34.1,68.9,0.0,9.0,12
21,116.2,97.4,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50.0,37.2,33.6,72.3,0.0,8.0,11
21,108.4,95.9,49.6,50.3,17.4,19.0,28.9,29.0,38.6,31.8,49.5,51.5,33.2,32.2,68.3,0.0,10.0,14
24,111.7,95.9,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50.0,45.1,38.8,32.4,70.5,0.0,5.0,10
20,107.9,96.9,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34.0,70.4,0.0,10.0,14
23,110.1,107.6,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36.0,52.2,49.2,39.3,38.7,68.5,0.0,13.0,9
23,101.7,99.5,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,0.0,15.0,9
22,103.1,102.7,53.4,50.7,18.3,19.6,26.0,27.8,36.1,39.7,51.4,50.0,38.7,34.8,72.5,0.0,15.0,7
26,106.7,98.4,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,0.0,14.0,6
26,106.2,103.2,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68.0,0.0,15.0,7
20,104.5,103.0,50.0,47.7,17.5,16.9,34.8,28.0,38.9,35.0,48.1,45.8,35.9,33.8,64.1,0.0,16.0,10
20,101.2,99.4,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33.0,50.2,52.1,32.1,29.6,71.0,0.0,15.0,12
26,105.3,101.3,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,0.0,13.0,5
23,101.3,102.8,49.3,50.1,18.7,20.2,32.0,28.0,31.2,31.7,47.1,48.9,35.0,34.6,64.2,0.0,16.0,11
23,106.0,106.6,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,0.0,16.0,9
19,105.1,96.8,50.7,44.7,18.2,17.2,30.0,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,0.0,13.0,13
23,97.4,100.8,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,0.0,16.0,11
20,101.6,102.5,51.6,48.2,20.7,18.2,26.0,28.9,45.6,35.2,52.0,45.0,33.8,36.4,70.7,0.0,15.0,10
23,107.0,101.0,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25.0,53.0,49.1,38.6,34.4,63.6,0.0,14.0,12
23,109.5,100.9,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51.0,46.1,34.4,33.9,71.3,0.0,13.0,8
29,117.7,105.0,55.0,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34.0,71.5,0.0,12.0,4
26,106.8,104.3,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52.0,48.7,35.9,34.6,66.0,0.0,13.0,6
23,109.1,102.5,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53.0,38.2,33.7,67.5,0.0,13.0,11
26,99.3,94.6,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,0.0,14.0,9
25,105.0,94.5,51.3,45.2,19.0,18.6,34.7,27.4,36.6,33.4,48.0,42.3,38.4,33.4,63.1,0.0,13.0,6
21,106.9,104.2,49.8,51.5,15.8,21.1,30.9,32.0,42.2,35.8,48.5,50.0,35.0,36.3,77.3,0.0,14.0,13
24,105.5,104.1,52.4,49.7,18.8,17.0,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,0.0,15.0,9
25,99.4,97.2,48.6,48.3,18.6,21.0,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,0.0,14.0,8
26,107.8,101.3,54.6,49.1,17.8,18.4,30.6,26.0,34.8,35.2,55.0,49.9,36.0,32.0,69.3,0.0,14.0,7
20,102.4,94.9,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34.0,61.6,0.0,13.0,8
23,107.6,95.4,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32.0,50.5,46.9,37.6,34.5,64.2,0.0,12.0,6
24,103.6,97.6,52.9,47.0,16.6,17.0,23.8,22.6,33.4,31.8,53.3,48.0,34.8,30.0,70.1,0.0,16.0,8
22,110.5,102.5,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56.0,47.8,36.5,31.0,72.2,0.0,14.0,7
22,109.1,102.1,53.8,48.8,17.6,19.2,29.2,31.0,32.4,36.3,52.5,46.0,37.0,35.8,72.6,0.0,13.0,11
22,109.3,106.0,53.4,50.0,16.5,18.0,27.0,32.1,31.0,33.4,49.3,47.7,39.7,36.1,71.7,0.0,14.0,13
20,108.8,107.6,53.9,52.5,16.0,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,0.0,15.0,14
17,105.2,108.8,53.0,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,0.0,16.0,16
23,109.1,98.0,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48.0,34.1,33.0,68.9,0.0,12.0,10
19,105.1,102.4,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49.0,48.8,33.7,34.3,72.9,0.0,14.0,15
22,104.1,102.9,48.2,50.1,17.9,19.0,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,69.5,0.0,14.0,13
17,94.8,102.3,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,0.0,16.0,18
20,98.2,107.5,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,0.0,16.0,11
20,101.1,100.5,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,46.5,46.5,37.0,32.8,66.5,0.0,15.0,14
23,102.1,98.2,52.2,47.0,18.8,17.9,22.0,27.0,40.4,27.0,54.4,44.0,32.6,34.9,59.2,0.0,12.0,10
23,106.3,100.1,48.4,48.8,15.1,21.0,30.0,29.7,37.7,46.4,47.0,48.4,34.4,33.0,69.8,0.0,14.0,10
28,113.7,100.7,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31.0,71.0,0.0,12.0,7
22,110.2,94.9,51.7,48.6,17.0,19.0,31.6,25.0,35.1,29.6,52.0,47.8,34.1,33.2,70.0,0.0,11.0,10
29,112.5,95.9,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28.0,54.9,46.3,34.7,33.2,70.8,0.0,7.0,5
28,111.3,96.8,53.9,46.5,18.2,17.3,32.0,22.3,36.7,34.3,54.2,42.2,35.7,35.3,69.6,0.0,8.0,6
20,100.7,103.3,50.1,49.3,19.8,21.8,31.0,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66.0,0.0,16.0,15
20,98.9,101.8,51.0,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,0.0,16.0,16
21,104.5,110.3,54.2,52.0,19.7,20.2,29.5,33.2,35.7,29.4,51.0,51.3,40.1,35.3,68.0,0.0,16.0,12
21,108.7,106.8,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,0.0,15.0,11
16,103.4,109.1,51.3,53.8,20.2,18.6,31.9,30.0,47.0,31.3,51.0,53.3,34.7,36.4,70.5,0.0,16.0,18
20,104.4,104.2,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,65.0,0.0,15.0,13
26,110.6,100.8,55.0,47.2,17.6,18.0,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,0.0,12.0,4
27,114.9,101.0,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,59.2,47.2,37.0,34.4,72.5,0.0,11.0,5
25,116.1,95.7,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,0.0,6.0,9
23,112.4,92.8,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,0.0,4.0,11
21,107.8,95.2,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.0,8.0,12
18,109.9,98.1,49.8,49.5,16.6,19.5,29.0,32.2,36.8,39.3,46.9,50.0,37.4,32.4,68.0,0.0,7.0,13
21,113.7,98.7,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.0,8.0,13
27,117.0,100.4,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,68.3,0.0,4.0,8
23,108.7,97.6,50.6,48.5,18.7,19.0,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,71.9,0.0,11.0,11
19,109.8,114.5,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38.0,65.1,0.0,16.0,13
15,96.7,106.9,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,0.0,16.0,20
26,108.3,99.1,55.3,48.0,18.9,19.7,26.8,27.9,37.2,33.1,54.3,46.5,37.9,34.2,71.4,0.0,13.0,9
25,108.0,101.3,53.9,47.8,17.0,17.0,27.0,27.5,42.6,34.5,55.0,47.0,34.8,33.1,72.9,0.0,14.0,10
24,109.1,105.5,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,67.9,0.0,15.0,10
22,108.8,106.6,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,50.9,49.5,35.1,34.1,69.4,0.0,15.0,13
24,108.8,101.5,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44.0,38.7,33.8,67.7,0.0,15.0,9
24,106.4,101.1,53.7,50.3,16.4,21.0,23.0,33.8,35.4,30.9,51.2,51.2,38.1,32.8,71.3,0.0,14.0,9
26,102.3,96.8,51.1,47.0,17.2,20.0,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,0.0,12.0,7
27,105.6,100.8,51.7,50.5,18.0,20.2,32.3,29.0,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.0,12.0,6
27,107.3,97.1,55.8,48.7,20.8,22.0,30.1,27.4,42.8,38.2,55.0,45.7,38.2,35.4,71.5,0.0,13.0,6
27,103.4,95.2,51.7,47.5,19.8,21.4,33.7,23.9,26.0,39.2,51.1,47.3,35.0,31.9,66.2,0.0,13.0,5
21,107.6,92.6,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,0.0,10.0,12
22,107.8,92.8,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,0.0,9.0,11
21,112.2,99.2,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,0.0,11.0,13
19,112.5,93.8,52.1,48.1,18.2,16.1,24.8,27.0,34.8,30.7,48.1,46.8,37.6,33.8,67.0,0.0,9.0,16
23,116.7,100.4,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,0.0,7.0,12
20,111.0,96.0,54.1,46.7,20.8,16.0,30.3,27.9,38.3,30.3,50.3,45.4,39.0,32.7,66.8,0.0,8.0,12
20,113.3,97.9,53.1,51.0,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,0.0,8.0,13
23,116.9,96.8,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69.0,0.0,5.0,11
26,111.0,98.8,55.6,49.0,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,0.0,12.0,5
28,103.8,97.1,53.1,49.7,20.7,25.9,32.0,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,0.0,14.0,3
27,100.9,100.7,51.9,49.8,17.3,23.3,27.0,28.5,34.0,38.3,49.5,49.8,37.7,33.3,67.1,0.0,15.0,3
21,100.8,100.7,49.7,48.1,16.0,16.5,26.1,23.7,35.7,30.7,45.5,45.0,38.2,36.2,61.5,0.0,15.0,10
24,110.5,101.1,51.3,48.0,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,0.0,12.0,8
18,108.2,109.7,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,0.0,16.0,15
28,113.2,100.4,54.3,50.0,14.0,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.0,12.0,3
19,106.6,109.0,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37.0,66.5,0.0,16.0,14
22,101.9,108.1,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50.0,48.5,32.2,34.4,63.7,0.0,15.0,13
23,100.6,106.5,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50.0,49.3,29.6,32.5,70.0,0.0,16.0,12
16,104.1,112.4,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,0.0,16.0,20
21,103.9,98.1,50.6,46.4,21.8,20.6,39.3,31.0,44.3,32.5,49.3,46.4,36.2,30.8,64.0,0.0,15.0,11
21,103.4,95.7,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,0.0,15.0,9
28,109.4,102.5,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,0.0,14.0,3
28,106.8,95.0,51.6,46.0,17.4,19.0,33.8,22.5,29.1,33.0,52.0,45.7,34.0,31.1,69.4,0.0,12.0,3
30,111.8,98.2,54.1,48.9,17.8,19.1,37.0,22.5,34.6,32.5,56.7,48.0,34.0,33.5,67.1,0.0,12.0,3
22,113.1,96.3,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,52.3,49.2,37.8,32.1,64.1,0.0,11.0,12
26,125.9,98.6,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,0.0,3.0,9
27,108.7,91.5,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36.0,46.6,43.2,33.5,32.0,63.5,0.0,5.0,7
23,118.2,99.4,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,0.0,5.0,10
26,108.3,89.8,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,0.0,5.0,9
24,109.0,96.9,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,0.0,6.0,9
25,108.4,88.5,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,0.0,6.0,10
27,112.8,95.7,51.1,45.0,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,0.0,7.0,7
23,106.9,96.0,48.3,49.4,19.7,17.8,34.0,26.1,48.3,30.2,48.6,47.3,31.8,35.6,66.9,0.0,8.0,12
20,107.9,92.9,48.8,45.3,18.5,19.0,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.0,9.0,13
21,115.6,94.8,52.4,46.3,14.7,20.0,28.0,32.0,49.7,41.0,51.3,45.0,36.4,32.7,69.2,0.0,9.0,13
21,110.3,96.4,52.4,46.3,16.3,17.0,24.5,30.2,42.5,37.3,48.8,45.3,39.0,32.6,69.3,0.0,10.0,12
22,113.8,100.5,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73.0,0.0,10.0,12
24,113.8,97.5,53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,52.3,46.0,37.9,34.2,65.9,0.0,10.0,10
24,110.2,96.8,51.5,47.2,19.0,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,67.2,0.0,11.0,9
19,108.2,95.0,48.3,47.6,16.7,19.0,25.7,29.0,42.3,44.9,47.4,47.8,33.3,31.5,66.4,0.0,11.0,13
22,114.9,100.4,48.3,48.9,17.3,16.4,35.3,30.8,41.9,33.7,46.5,48.8,34.7,32.8,64.9,0.0,11.0,13
22,114.8,101.4,50.0,47.5,15.8,17.4,34.1,35.6,37.0,42.6,51.5,47.3,30.5,32.1,66.5,0.0,12.0,14
25,110.7,106.0,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38.0,49.5,49.6,34.7,32.7,72.3,0.0,13.0,10
25,106.2,96.4,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44.0,36.9,32.7,69.6,0.0,13.0,8
25,111.6,102.0,53.2,44.4,18.7,16.1,37.7,33.0,53.9,34.1,52.9,42.7,36.1,33.2,67.1,0.0,13.0,10
21,105.6,95.8,49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,49.2,43.2,32.7,35.2,68.4,0.0,13.0,13
20,110.5,104.5,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44.0,49.6,50.6,37.1,33.2,70.0,0.0,14.0,12
26,107.9,100.2,50.2,44.4,17.2,23.7,35.4,33.1,49.5,44.8,50.8,43.2,32.5,31.0,64.1,0.0,14.0,6
22,104.7,102.5,52.0,47.6,20.9,18.5,31.0,32.0,51.4,34.7,53.7,47.8,32.6,31.5,67.0,0.0,14.0,10
20,101.8,97.7,55.8,46.4,23.1,19.6,26.5,29.7,35.0,40.7,55.1,45.7,37.9,31.9,61.4,0.0,15.0,13
22,112.1,107.5,56.7,55.7,15.8,24.2,23.0,34.0,43.2,54.9,55.7,56.7,38.6,35.8,66.0,0.0,15.0,10
20,104.3,103.9,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31.0,67.8,0.0,15.0,14
17,99.7,102.2,48.8,49.5,16.4,19.7,30.9,29.0,33.0,39.4,47.4,49.6,34.6,32.9,62.1,0.0,15.0,13
19,102.8,103.1,48.8,48.3,19.7,18.3,31.9,28.4,42.0,29.1,47.0,46.0,36.0,34.9,63.2,0.0,16.0,15
12,102.0,104.4,46.0,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33.0,33.8,60.4,0.0,16.0,20
18,98.3,102.0,48.0,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,0.0,16.0,13
17,106.0,106.6,54.1,47.8,19.0,13.8,28.4,28.7,49.7,35.1,51.1,47.0,39.4,33.7,64.3,0.0,16.0,12
25,107.6,85.0,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,62.5,0.0,2.0,7
29,107.0,91.1,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,65.4,0.0,3.0,6
26,113.4,94.5,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63.0,0.0,4.0,8
23,107.2,84.3,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,61.9,0.0,5.0,12
24,107.1,88.6,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,0.0,5.0,9
24,104.7,88.4,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,0.0,5.0,10
25,110.0,94.8,49.1,47.5,15.8,19.9,30.7,34.0,33.1,24.6,48.9,46.9,33.3,32.4,69.6,0.0,6.0,10
25,112.9,95.4,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,50.6,45.9,37.0,32.5,61.7,0.0,7.0,10
24,112.8,91.1,51.7,44.6,18.1,22.0,40.4,30.0,37.5,36.4,51.5,44.0,34.9,30.4,60.3,0.0,8.0,9
24,115.2,98.0,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,52.8,47.5,39.1,30.2,68.1,0.0,8.0,11
19,105.3,90.5,47.3,47.3,22.9,22.0,33.1,29.5,50.6,40.9,46.0,42.4,33.2,37.3,67.7,0.0,9.0,14
23,113.3,95.2,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,51.4,44.1,33.9,33.2,67.7,0.0,9.0,11
20,110.3,95.6,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,66.7,0.0,10.0,12
21,104.9,90.2,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,0.0,10.0,12
22,104.5,88.3,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,0.0,10.0,12
24,108.9,96.2,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.0,11.0,7
27,104.7,93.1,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,0.0,11.0,6
27,113.9,94.9,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,52.3,44.0,37.3,36.7,64.8,0.0,11.0,7
25,103.4,94.4,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.0,12.0,7
22,109.7,103.7,53.3,51.2,16.4,17.1,28.9,26.1,33.0,24.4,50.4,49.8,38.9,35.8,64.0,0.0,13.0,10
23,101.6,101.8,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,63.9,0.0,13.0,7
23,102.5,95.3,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,65.1,0.0,13.0,11
19,104.8,102.1,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,73.0,0.0,14.0,9
