Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Cornell,61.1%,71.1%,72.0%,62.8%,59.8%,61.7%
2,Creighton,60.7%,61.6%,65.6%,63.7%,58.1%,59.2%
3,Saint Louis,59.9%,63.8%,62.5%,60.1%,59.7%,49.6%
4,Alabama,59.7%,58.8%,53.1%,61.6%,58.1%,56.7%
5,BYU,58.7%,51.1%,58.8%,63.9%,53.0%,57.5%
6,St Thomas,58.1%,55.3%,55.6%,56.9%,58.9%,55.0%
7,Duke,58.0%,61.4%,52.2%,57.8%,58.2%,53.5%
8,Washington St,58.0%,55.1%,54.1%,61.2%,55.6%,52.2%
9,N Colorado,57.9%,50.4%,35.3%,62.2%,55.5%,56.4%
10,Chattanooga,57.8%,55.5%,65.2%,59.1%,57.0%,56.1%
11,Liberty,57.7%,62.7%,60.0%,55.1%,59.3%,54.9%
12,Gonzaga,57.6%,52.2%,52.5%,59.2%,56.4%,58.3%
13,Michigan,57.5%,47.1%,50.0%,60.5%,55.0%,49.5%
14,Utah St,57.5%,53.4%,48.3%,59.7%,55.3%,56.7%
15,UConn,57.3%,59.6%,45.0%,59.9%,54.6%,59.1%
16,Illinois,57.3%,55.9%,47.2%,59.1%,55.6%,54.4%
17,High Point,57.3%,54.1%,52.0%,58.1%,56.6%,54.1%
18,Montana,56.9%,55.6%,46.2%,56.9%,56.9%,55.2%
19,Louisville,56.8%,51.8%,53.7%,57.3%,56.4%,49.4%
20,Lipscomb,56.7%,57.1%,35.0%,56.3%,57.1%,55.7%
21,Indiana St,56.6%,62.0%,58.8%,58.3%,55.7%,62.4%
22,Iowa,56.6%,60.4%,59.6%,59.1%,53.8%,52.9%
23,Illinois St,56.6%,52.2%,51.6%,58.8%,54.6%,50.4%
24,N Dakota St,56.5%,55.2%,47.2%,58.6%,55.0%,51.4%
25,Colorado St,56.5%,50.6%,37.0%,58.5%,54.6%,57.0%
26,Florida,56.4%,60.9%,50.0%,56.5%,56.3%,51.8%
27,UMass Lowell,56.3%,66.7%,63.2%,58.4%,54.1%,51.3%
28,Boise St,56.3%,55.6%,50.0%,60.3%,53.2%,50.8%
29,Missouri,56.3%,50.0%,37.9%,59.3%,52.0%,51.8%
30,Auburn,56.3%,56.2%,64.0%,59.1%,53.9%,55.1%
31,Cal Poly,56.0%,51.5%,45.7%,59.7%,53.7%,44.1%
32,UCSD,56.0%,57.3%,53.1%,56.4%,55.7%,52.2%
33,Kentucky,55.9%,50.5%,43.2%,60.8%,50.3%,54.7%
34,Akron,55.8%,57.4%,56.3%,59.3%,53.4%,54.6%
35,William & Mary,55.8%,48.9%,37.1%,60.7%,52.6%,48.6%
36,Penn St,55.6%,53.3%,55.6%,57.6%,53.2%,50.5%
37,UT Rio Grande,55.4%,52.7%,51.6%,54.2%,56.4%,45.8%
38,Wright St,55.3%,70.2%,64.7%,56.6%,54.4%,58.8%
39,Purdue,55.3%,45.5%,50.0%,59.4%,51.6%,53.3%
40,Nevada,55.3%,57.3%,51.7%,57.2%,53.4%,52.5%
41,Wisconsin,55.3%,52.9%,72.7%,53.9%,56.6%,52.2%
42,LSU,55.2%,50.0%,56.7%,58.3%,51.5%,51.4%
43,N Iowa,55.2%,46.5%,51.9%,57.7%,52.5%,51.9%
44,Mississippi St,55.2%,52.7%,50.0%,61.4%,50.4%,53.4%
45,Arizona,55.1%,53.2%,51.3%,58.5%,52.3%,54.4%
46,Iowa St,55.1%,60.0%,66.7%,55.3%,54.8%,51.2%
47,Miami,55.1%,51.9%,48.8%,58.4%,51.2%,51.6%
48,Winthrop,55.0%,54.7%,53.8%,58.0%,53.0%,52.8%
49,Marquette,55.0%,53.3%,56.7%,56.0%,53.8%,56.6%
50,Santa Clara,54.8%,57.6%,61.8%,56.3%,53.4%,52.6%
51,North Carolina,54.7%,47.6%,48.5%,55.5%,54.0%,50.2%
52,San Francisco,54.6%,51.3%,53.1%,59.0%,50.6%,56.7%
53,Drake,54.6%,52.2%,55.6%,53.9%,55.1%,54.8%
54,Colgate,54.6%,56.4%,52.9%,56.4%,53.3%,53.4%
55,Oklahoma,54.6%,50.0%,56.8%,59.9%,48.9%,53.9%
56,Norfolk St,54.5%,53.8%,43.6%,58.1%,53.0%,49.6%
57,S Dakota St,54.5%,47.3%,47.4%,59.6%,51.2%,55.6%
58,Texas Tech,54.5%,47.7%,60.9%,55.9%,52.6%,51.6%
59,Oregon St,54.5%,57.7%,53.1%,57.2%,51.1%,49.9%
60,Bucknell,54.4%,59.4%,60.7%,54.5%,54.4%,50.2%
61,Arkansas,54.3%,54.1%,53.7%,55.4%,53.2%,51.8%
62,Tennessee,54.3%,58.4%,61.5%,57.4%,50.9%,50.8%
63,Bradley,54.3%,53.5%,48.4%,54.1%,54.5%,54.9%
64,USC,54.3%,53.3%,52.6%,55.3%,53.0%,50.7%
65,Wofford,54.2%,51.2%,41.4%,56.4%,53.2%,53.3%
66,Delaware,54.1%,52.6%,48.6%,55.6%,53.1%,53.2%
67,FGCU,54.1%,51.6%,48.6%,53.7%,54.4%,50.8%
68,N Florida,54.0%,50.0%,57.7%,53.4%,54.5%,53.3%
69,Purdue FW,54.0%,49.5%,42.9%,56.4%,52.3%,53.1%
70,VCU,53.9%,51.4%,44.0%,55.3%,52.7%,50.9%
71,Ohio,53.9%,51.2%,50.0%,55.9%,52.4%,51.9%
72,Miami OH,53.9%,46.3%,48.1%,54.2%,53.7%,48.6%
73,Samford,53.9%,55.1%,50.0%,52.7%,54.9%,55.0%
74,Utah,53.9%,46.5%,54.8%,56.3%,50.5%,53.6%
75,Columbia,53.9%,56.3%,61.5%,55.5%,52.1%,50.2%
76,Florida Atlantic,53.9%,52.8%,57.6%,52.5%,54.8%,56.0%
77,Bellarmine,53.9%,56.3%,58.6%,55.0%,52.9%,48.3%
78,Troy,53.9%,55.6%,53.5%,57.7%,51.3%,48.2%
79,Montana St,53.8%,60.0%,29.0%,59.1%,50.6%,53.6%
80,UMBC,53.8%,44.1%,40.9%,52.4%,55.0%,52.6%
81,SMU,53.8%,53.5%,55.0%,54.8%,52.7%,50.3%
82,NC Wilmington,53.7%,52.4%,51.4%,54.8%,52.8%,52.1%
83,C Connecticut,53.7%,48.0%,35.9%,52.0%,55.1%,50.8%
84,Georgia,53.7%,48.0%,47.1%,57.4%,49.2%,48.8%
85,Vanderbilt,53.6%,46.2%,53.8%,55.9%,50.9%,47.3%
86,Michigan St,53.6%,45.9%,42.5%,56.1%,51.2%,50.4%
86,S Alabama,53.6%,53.6%,48.9%,56.7%,50.8%,50.0%
88,Furman,53.5%,59.2%,66.7%,51.9%,54.8%,54.3%
89,Louisiana Tech,53.5%,46.4%,54.7%,51.7%,54.7%,49.0%
90,Loyola Chi,53.4%,48.7%,66.7%,56.0%,50.8%,51.0%
91,Rhode Island,53.3%,48.3%,36.6%,56.1%,50.2%,51.1%
92,DePaul,53.3%,56.3%,50.0%,53.6%,53.0%,47.0%
93,Middle Tenn,53.3%,58.7%,64.4%,54.8%,52.2%,45.6%
94,Yale,53.3%,50.9%,51.4%,54.5%,52.7%,51.9%
95,Nebraska,53.3%,52.4%,44.4%,52.3%,54.4%,52.8%
96,Davidson,53.3%,56.8%,52.9%,53.6%,53.0%,50.8%
97,Grand Canyon,53.2%,61.7%,59.5%,53.5%,52.9%,52.1%
98,Oakland,53.2%,55.0%,54.8%,55.9%,51.7%,51.0%
99,Le Moyne,53.2%,51.8%,62.9%,50.6%,54.8%,49.2%
100,G Washington,53.2%,56.5%,44.4%,56.8%,49.7%,49.9%
101,McNeese,53.2%,53.3%,53.5%,51.6%,54.4%,52.2%
102,Gardner-Webb,53.1%,48.8%,45.5%,53.7%,52.9%,47.5%
103,Milwaukee,53.1%,59.3%,63.9%,56.6%,49.9%,52.7%
104,UCLA,53.1%,52.8%,53.3%,57.1%,48.2%,45.3%
105,SC Upstate,53.1%,47.4%,48.6%,56.0%,51.4%,50.2%
106,Hawai'i,53.1%,52.1%,46.4%,54.3%,51.0%,53.8%
107,Texas A&M-CC,53.0%,59.8%,48.3%,56.2%,50.5%,47.3%
108,Oregon,53.0%,59.4%,61.8%,53.8%,52.3%,52.6%
109,Kansas,53.0%,42.3%,41.5%,58.1%,48.1%,54.7%
110,Wake Forest,52.9%,39.5%,47.5%,55.7%,50.4%,54.0%
111,Belmont,52.9%,50.5%,54.2%,54.8%,50.9%,54.5%
112,Tulane,52.9%,54.6%,58.1%,53.7%,52.3%,54.5%
113,Saint Joseph's,52.8%,43.1%,43.6%,56.4%,49.3%,53.0%
114,Maryland,52.7%,43.5%,50.0%,55.8%,48.9%,48.8%
115,Cincinnati,52.6%,50.4%,35.7%,54.9%,50.2%,50.8%
116,Queens,52.6%,45.8%,43.8%,54.6%,51.4%,50.1%
117,St Francis PA,52.6%,50.0%,53.8%,55.5%,51.0%,45.8%
118,Indiana,52.6%,40.9%,39.6%,55.6%,48.7%,53.4%
119,AR-Pine Bluff,52.6%,56.3%,55.6%,50.3%,53.7%,48.4%
120,Howard,52.6%,46.0%,45.2%,55.8%,50.9%,49.1%
121,Ohio St,52.6%,55.9%,54.1%,57.5%,46.7%,50.6%
122,Tennessee St,52.5%,51.4%,54.1%,54.1%,51.5%,49.8%
123,E Washington,52.5%,49.1%,35.9%,56.0%,50.2%,58.7%
124,Dayton,52.4%,50.0%,65.4%,54.5%,50.2%,53.4%
125,Pittsburgh,52.4%,50.0%,47.2%,57.1%,47.4%,50.0%
126,NC Asheville,52.4%,61.0%,50.0%,55.6%,50.6%,50.5%
127,UCSB,52.4%,46.1%,40.0%,55.4%,49.7%,53.4%
128,E Michigan,52.4%,51.9%,42.1%,54.6%,50.6%,48.7%
129,Florida St,52.3%,47.0%,45.2%,55.6%,49.4%,51.5%
130,Longwood,52.3%,48.7%,41.5%,53.9%,51.2%,48.7%
131,Harvard,52.2%,47.3%,46.3%,52.6%,52.0%,49.9%
132,Green Bay,52.2%,48.1%,46.5%,52.5%,51.9%,53.7%
133,Kennesaw St,52.2%,49.4%,52.9%,55.5%,49.7%,53.0%
134,Clemson,52.2%,45.3%,44.4%,54.6%,49.8%,54.7%
135,Youngstown St,52.1%,47.2%,47.1%,56.3%,49.4%,52.2%
136,Brown,52.1%,47.5%,37.9%,54.8%,49.7%,49.2%
137,Army,52.1%,45.8%,48.7%,52.8%,51.4%,46.5%
138,Omaha,52.1%,56.1%,38.2%,55.2%,50.6%,50.5%
139,Georgetown,52.1%,47.2%,50.0%,52.7%,51.1%,46.3%
140,Memphis,52.0%,49.3%,47.3%,54.1%,50.4%,52.9%
141,Drexel,51.9%,48.6%,50.0%,49.1%,54.0%,50.3%
142,Syracuse,51.9%,53.5%,38.7%,52.7%,50.9%,51.9%
143,Colorado,51.9%,46.1%,48.6%,53.1%,50.6%,54.0%
144,Saint Mary's,51.8%,52.6%,55.6%,52.9%,50.8%,52.7%
145,Kansas St,51.8%,55.0%,56.3%,51.7%,51.9%,51.9%
146,Charleston,51.8%,49.5%,25.0%,52.0%,51.6%,52.5%
147,Niagara,51.8%,51.1%,48.3%,56.0%,48.9%,51.2%
148,Texas,51.7%,49.2%,50.0%,54.6%,48.8%,53.0%
149,South Dakota,51.7%,46.0%,38.2%,54.4%,49.6%,49.6%
150,Butler,51.7%,49.1%,40.0%,52.6%,50.8%,51.5%
151,Portland St,51.7%,46.4%,55.2%,51.1%,52.0%,45.6%
152,CS Northridge,51.6%,51.6%,54.5%,51.9%,51.4%,50.3%
153,Xavier,51.6%,55.2%,60.6%,53.6%,49.5%,48.1%
154,St John's,51.6%,51.2%,55.6%,52.3%,50.7%,50.8%
155,Marist,51.5%,42.9%,43.6%,53.9%,49.1%,49.3%
156,Tulsa,51.5%,55.6%,42.1%,54.7%,48.7%,51.6%
