Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Michigan St,27.9%,22.2%,31.0%,26.8%,28.9%,32.6%
2,Liberty,28.0%,35.0%,33.3%,26.6%,28.9%,32.3%
3,San Francisco,28.0%,27.1%,19.0%,22.9%,33.7%,34.2%
4,Tennessee,28.2%,35.1%,42.3%,28.2%,28.2%,31.2%
5,Auburn,29.0%,22.4%,24.0%,26.4%,31.4%,30.2%
6,New Mexico St,29.5%,35.8%,44.0%,27.3%,31.0%,34.7%
7,Dartmouth,29.6%,25.4%,34.5%,27.5%,31.0%,37.0%
8,Florida,29.6%,29.9%,30.8%,27.2%,31.5%,32.7%
9,West Virginia,29.7%,33.3%,38.5%,27.2%,32.7%,35.0%
10,App State,29.8%,38.0%,30.4%,30.6%,29.2%,32.1%
11,Montana St,29.8%,25.0%,33.3%,28.8%,30.7%,32.7%
12,Gonzaga,29.9%,23.9%,19.2%,29.2%,30.5%,34.1%
13,SE Missouri St,30.0%,27.8%,27.3%,31.1%,29.2%,31.5%
14,Nicholls,30.1%,22.8%,20.0%,30.6%,29.8%,32.1%
15,Arkansas St,30.1%,27.3%,30.8%,28.0%,31.8%,35.2%
16,Houston,30.2%,18.6%,8.3%,31.8%,28.9%,30.1%
17,F Dickinson,30.3%,35.4%,40.7%,33.5%,28.7%,35.7%
18,N Texas,30.4%,29.6%,33.3%,31.8%,29.0%,33.5%
19,Ohio St,30.5%,37.5%,41.7%,28.6%,32.5%,34.7%
20,W Kentucky,30.5%,34.2%,19.0%,29.7%,31.4%,32.4%
21,Oklahoma,30.5%,35.6%,33.3%,31.5%,29.4%,29.9%
22,George Mason,30.5%,29.5%,35.3%,30.2%,30.8%,34.7%
23,C Connecticut,30.6%,20.3%,19.2%,28.8%,32.0%,34.9%
24,Wake Forest,30.7%,29.8%,36.4%,31.1%,30.3%,33.1%
25,Maryland,30.7%,26.6%,38.9%,29.4%,32.4%,32.8%
26,VCU,30.7%,31.8%,35.0%,28.5%,32.5%,31.3%
27,Louisiana Tech,30.8%,20.0%,16.7%,29.1%,31.9%,33.5%
28,Kansas,30.8%,37.3%,25.0%,29.2%,32.4%,34.6%
29,UCSB,30.8%,27.9%,26.9%,32.7%,29.1%,32.1%
30,Alabama,30.8%,37.5%,44.4%,27.2%,34.2%,31.7%
31,Santa Clara,30.8%,28.6%,33.3%,30.3%,31.3%,31.7%
32,Kentucky,30.8%,37.8%,37.9%,30.1%,31.7%,33.2%
33,Duke,30.9%,31.4%,26.9%,32.0%,29.7%,31.8%
34,Purdue,30.9%,32.1%,35.7%,28.4%,33.2%,31.5%
35,NJIT,31.0%,30.4%,15.8%,28.2%,33.0%,35.0%
36,Merrimack,31.0%,29.2%,36.4%,31.0%,31.0%,31.0%
37,NC Greensboro,31.0%,32.4%,15.8%,34.7%,28.4%,34.3%
38,St John's,31.0%,18.7%,13.9%,31.6%,30.4%,35.0%
39,Michigan,31.0%,23.3%,23.3%,32.8%,29.6%,36.1%
40,Lipscomb,31.1%,28.2%,23.5%,31.4%,30.7%,36.5%
41,Campbell,31.1%,44.4%,46.7%,25.7%,34.7%,34.1%
42,S Carolina St,31.1%,32.4%,33.3%,33.7%,29.9%,33.6%
43,Lehigh,31.2%,22.4%,28.6%,30.0%,32.0%,35.6%
44,Saint Mary's,31.2%,20.0%,6.7%,33.7%,28.3%,32.3%
45,San Diego St,31.2%,34.5%,58.3%,30.1%,32.2%,31.0%
46,LIU,31.2%,28.8%,36.8%,29.8%,32.3%,31.1%
47,Bethune,31.3%,29.4%,61.5%,28.1%,32.5%,34.1%
48,Kent St,31.3%,30.6%,29.6%,35.3%,28.8%,33.0%
49,Butler,31.3%,33.7%,35.0%,33.8%,28.8%,32.4%
50,Lamar,31.4%,27.1%,17.6%,31.8%,31.1%,33.2%
51,Little Rock,31.4%,40.0%,44.4%,30.3%,32.2%,32.3%
52,Louisiana,31.5%,29.4%,38.5%,29.6%,33.1%,27.9%
53,Kansas St,31.5%,31.3%,33.3%,30.6%,32.2%,31.2%
54,Middle Tenn,31.5%,27.0%,30.0%,29.5%,33.2%,33.8%
55,Texas Tech,31.5%,32.8%,26.9%,31.9%,31.1%,32.2%
56,Rhode Island,31.5%,35.4%,36.0%,27.5%,36.2%,35.7%
57,Ball St,31.5%,31.5%,36.1%,32.0%,31.2%,35.1%
58,Drexel,31.6%,40.3%,45.0%,29.0%,33.3%,31.4%
59,Drake,31.6%,25.8%,25.0%,34.4%,29.8%,33.3%
60,Mt St Mary's,31.6%,29.3%,37.1%,30.7%,32.2%,34.6%
61,Georgia,31.6%,44.4%,60.0%,30.0%,33.7%,33.1%
62,Oregon,31.6%,32.0%,46.7%,29.6%,33.6%,35.0%
63,TCU,31.6%,36.5%,40.9%,28.3%,35.4%,33.0%
